	Número	Nome	Posição	Acceleration	Sprint Speed	Positioning	Finishing	Shot Power	Long Shot	Volleys	Penalties	Vision	Crossing	Free Kick	Shot Passing	Long Passing	Curve	Agility	Balance	Reactions	Ball Control	Dribbling	Composure	Interceptions	Heading	Def. Awareness	Standing Tackle	Sliding	Jumping	Stamina	Strength	Aggression
0	20844	Erling Haaland	ST	92.0	99.0	99.0	99.0	99.0	94.0	98.0	92.0	87.0	60.0	73.0	91.0	72.0	91.0	88.0	85.0	99.0	93.0	90.0	99.0	54.0	99.0	47.0	58.0	36.0	99.0	90.0	99.0	99.0
1	20847	Caroline Graham Hansen	RW	97.0	95.0	94.0	93.0	95.0	96.0	90.0	77.0	96.0	97.0	83.0	96.0	91.0	97.0	99.0	81.0	89.0	97.0	99.0	91.0	42.0	84.0	54.0	60.0	54.0	94.0	95.0	84.0	75.0
2	20860	Aitana Bonmati Conca	CM	91.0	90.0	98.0	98.0	82.0	95.0	66.0	75.0	99.0	73.0	73.0	99.0	95.0	83.0	99.0	93.0	98.0	98.0	98.0	92.0	97.0	60.0	77.0	90.0	74.0	83.0	89.0	83.0	67.0
3	20850	Sam Kerr	ST	93.0	91.0	98.0	98.0	91.0	91.0	98.0	76.0	90.0	79.0	76.0	89.0	76.0	86.0	96.0	87.0	95.0	97.0	96.0	97.0	28.0	99.0	50.0	45.0	35.0	99.0	94.0	96.0	77.0
4	20863	Alexia Putellas Segura	CM	90.0	90.0	96.0	96.0	91.0	94.0	95.0	96.0	96.0	93.0	94.0	99.0	96.0	94.0	95.0	94.0	97.0	99.0	97.0	97.0	87.0	82.0	67.0	90.0	71.0	92.0	94.0	86.0	76.0
5	20868	Virgil Van Dijk	CB	82.0	93.0	53.0	58.0	92.0	73.0	51.0	70.0	75.0	62.0	82.0	91.0	99.0	70.0	77.0	73.0	93.0	85.0	80.0	94.0	95.0	93.0	97.0	98.0	93.0	97.0	80.0	99.0	93.0
6	18979	Pele	CAM	93.0	93.0	95.0	96.0	93.0	92.0	94.0	91.0	95.0	88.0	87.0	94.0	86.0	87.0	92.0	91.0	96.0	95.0	94.0	96.0	65.0	92.0	54.0	50.0	47.0	86.0	85.0	74.0	57.0
7	20438	Zinedine Zidane	CAM	85.0	83.0	91.0	90.0	89.0	93.0	92.0	89.0	97.0	93.0	91.0	97.0	96.0	88.0	79.0	86.0	95.0	97.0	97.0	97.0	86.0	90.0	65.0	79.0	68.0	74.0	87.0	87.0	78.0
8	20852	Ronaldo	ST	96.0	95.0	96.0	98.0	94.0	89.0	96.0	89.0	82.0	74.0	90.0	86.0	75.0	87.0	90.0	84.0	95.0	95.0	97.0	90.0	41.0	86.0	37.0	41.0	36.0	81.0	83.0	85.0	47.0
9	20866	Lena Oberdorf	CDM	93.0	77.0	85.0	61.0	94.0	72.0	68.0	64.0	95.0	72.0	71.0	93.0	90.0	70.0	86.0	91.0	96.0	93.0	80.0	93.0	91.0	82.0	93.0	95.0	94.0	93.0	88.0	97.0	98.0
10	20870	Sakina Karchaoui	LB	99.0	94.0	97.0	65.0	77.0	79.0	70.0	63.0	81.0	99.0	75.0	95.0	87.0	89.0	99.0	94.0	90.0	96.0	96.0	95.0	93.0	70.0	89.0	96.0	90.0	87.0	99.0	70.0	87.0
11	20873	Ruben Dias	CB	82.0	92.0	45.0	33.0	85.0	30.0	37.0	52.0	63.0	67.0	60.0	99.0	94.0	57.0	72.0	70.0	99.0	91.0	78.0	97.0	92.0	93.0	97.0	97.0	93.0	90.0	83.0	96.0	99.0
12	20879	Hamm	ST	95.0	93.0	96.0	96.0	96.0	95.0	92.0	91.0	90.0	80.0	92.0	92.0	88.0	87.0	90.0	92.0	96.0	94.0	95.0	92.0	58.0	89.0	48.0	57.0	54.0	85.0	90.0	84.0	70.0
13	20937	Alexandra Popp	ST	90.0	90.0	99.0	94.0	99.0	93.0	96.0	94.0	81.0	81.0	80.0	91.0	70.0	80.0	85.0	90.0	94.0	92.0	90.0	90.0	52.0	99.0	52.0	60.0	56.0	99.0	92.0	97.0	91.0
14	18913	Zinedine Zidane	CAM	84.0	82.0	90.0	89.0	88.0	92.0	91.0	88.0	96.0	92.0	90.0	96.0	95.0	87.0	78.0	85.0	94.0	96.0	96.0	96.0	83.0	86.0	62.0	76.0	65.0	73.0	86.0	86.0	77.0
15	20846	Kylian Mbappe	ST	99.0	99.0	99.0	99.0	96.0	89.0	90.0	90.0	91.0	85.0	75.0	95.0	78.0	88.0	98.0	86.0	98.0	97.0	98.0	93.0	50.0	95.0	34.0	44.0	42.0	99.0	99.0	87.0	72.0
16	20849	Lionel Messi	CF	99.0	84.0	99.0	98.0	92.0	99.0	95.0	83.0	99.0	90.0	99.0	98.0	97.0	99.0	95.0	99.0	92.0	97.0	99.0	99.0	48.0	73.0	24.0	42.0	29.0	82.0	88.0	81.0	51.0
17	20620	Pele	ST	94.0	94.0	96.0	97.0	94.0	93.0	95.0	92.0	94.0	87.0	86.0	93.0	85.0	86.0	93.0	92.0	97.0	96.0	95.0	97.0	66.0	94.0	55.0	51.0	48.0	93.0	92.0	80.0	62.0
18	20862	Kevin De Bruyne	CM	85.0	85.0	93.0	90.0	97.0	97.0	88.0	88.0	99.0	99.0	87.0	98.0	98.0	96.0	80.0	82.0	97.0	98.0	91.0	93.0	81.0	68.0	81.0	86.0	65.0	80.0	95.0	80.0	81.0
19	20864	Jude Bellingham	CM	91.0	90.0	93.0	90.0	92.0	87.0	83.0	67.0	96.0	75.0	55.0	99.0	98.0	83.0	91.0	90.0	97.0	97.0	97.0	91.0	95.0	80.0	90.0	91.0	89.0	90.0	99.0	85.0	96.0
20	21650	Zinedine Zidane	CM	86.0	84.0	92.0	92.0	91.0	94.0	93.0	93.0	98.0	95.0	95.0	98.0	98.0	95.0	81.0	88.0	97.0	98.0	99.0	98.0	87.0	92.0	67.0	80.0	70.0	75.0	88.0	88.0	80.0
21	20203	Johan Cruyff	CF	94.0	90.0	96.0	96.0	86.0	93.0	96.0	89.0	95.0	88.0	85.0	94.0	88.0	94.0	94.0	82.0	97.0	97.0	96.0	96.0	47.0	70.0	46.0	38.0	43.0	69.0	85.0	74.0	74.0
22	20851	Sophia Smith	ST	96.0	97.0	95.0	95.0	91.0	88.0	87.0	84.0	83.0	82.0	81.0	97.0	85.0	83.0	91.0	93.0	96.0	98.0	95.0	80.0	50.0	91.0	47.0	49.0	45.0	99.0	99.0	90.0	75.0
23	20865	Rodri	CDM	82.0	93.0	86.0	75.0	99.0	95.0	70.0	72.0	90.0	70.0	67.0	98.0	99.0	72.0	80.0	80.0	98.0	96.0	87.0	93.0	94.0	91.0	98.0	97.0	87.0	88.0	99.0	92.0	91.0
24	20869	Alisson	GK	69.0	56.0	13.0	13.0	64.0	14.0	20.0	23.0	66.0	17.0	18.0	60.0	58.0	19.0	40.0	37.0	87.0	42.0	27.0	66.0	11.0	29.0	15.0	19.0	16.0	82.0	32.0	78.0	27.0
25	20872	Wendie Renard	CB	87.0	87.0	79.0	74.0	91.0	68.0	62.0	76.0	70.0	61.0	67.0	93.0	97.0	75.0	83.0	80.0	96.0	83.0	77.0	92.0	95.0	99.0	97.0	97.0	86.0	84.0	82.0	96.0	88.0
26	20874	Ona Batlle Pascual	RB	97.0	94.0	95.0	80.0	82.0	74.0	76.0	78.0	80.0	94.0	44.0	95.0	86.0	86.0	93.0	97.0	95.0	87.0	91.0	88.0	92.0	60.0	96.0	96.0	93.0	85.0	99.0	75.0	87.0
27	20936	Cristiano Ronaldo	ST	90.0	93.0	99.0	96.0	99.0	95.0	92.0	99.0	86.0	86.0	85.0	86.0	79.0	90.0	91.0	85.0	99.0	99.0	90.0	99.0	40.0	99.0	35.0	45.0	35.0	99.0	86.0	85.0	70.0
28	21357	Ronaldinho	CAM	95.0	93.0	91.0	94.0	90.0	90.0	84.0	88.0	96.0	93.0	95.0	95.0	90.0	93.0	98.0	92.0	96.0	98.0	98.0	97.0	33.0	54.0	39.0	42.0	33.0	88.0	90.0	86.0	71.0
29	18980	Ronaldo	ST	95.0	94.0	95.0	97.0	93.0	88.0	95.0	88.0	80.0	72.0	88.0	84.0	73.0	85.0	89.0	83.0	94.0	94.0	96.0	89.0	40.0	84.0	36.0	40.0	35.0	79.0	81.0	83.0	46.0
