	Unnamed: 0	URLs	Nome	Acceleration	Sprint Speed	Positioning	Finishing	Shot Power	Long Shot	Volleys	Penalties	Vision	Crossing	Free Kick	Shot Passing	Long Passing	Curve	Agility	Balance	Reactions	Ball Control	Dribbling	Composure	Interceptions	Heading	Def. Awareness	Standing Tackle	Sliding	Jumping	Stamina	Strength	Aggression	Diving	Kicking	Handling	Reflexes	Positioning GK	Posição	Overall	Tipo	Nome Completo	País	Time	Posição Alternativa 1	Posição Alternativa 2	Posição Alternativa 3	Foto	Versão
4180	4180	/players/236295-aaron/24-236295/	aaron	69.0	54.0	65.0	43.0	69.0	65.0	45.0	46.0	65.0	78.0	85.0	75.0	67.0	82.0	78.0	76.0	73.0	77.0	75.0	70.0	74.0	63.0	72.0	74.0	72.0	70.0	77.0	64.0	59.0	11.0	10.0	14.0	12.0	12.0	LWB	75	Common	Aarón	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/110556.png?quality=100&amp;width=80	LB	LM		https://game-assets.fut.gg/2024/cards/futgg-cards/236295.webp	Versão 1
3879	3879	/players/239910-aaron-boupendza/24-239910/	aaron-boupendza	87.0	85.0	77.0	78.0	82.0	75.0	76.0	71.0	66.0	64.0	73.0	69.0	62.0	76.0	88.0	75.0	71.0	78.0	81.0	71.0	20.0	68.0	22.0	24.0	20.0	84.0	81.0	74.0	65.0	10.0	14.0	10.0	7.0	9.0	LM	76	Rare	Aaron Boupendza	https://game-assets.fut.gg/2024/nations/115.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/113149.png?quality=100&amp;width=80	ST	LW		https://game-assets.fut.gg/2024/cards/futgg-cards/239910.webp	Versão 1
3422	3422	/players/189615-aaron-cresswell/24-189615/	aaron-cresswell	66.0	51.0	60.0	54.0	71.0	66.0	48.0	59.0	68.0	83.0	76.0	77.0	69.0	80.0	63.0	75.0	78.0	77.0	76.0	73.0	77.0	68.0	78.0	78.0	79.0	70.0	73.0	61.0	73.0	14.0	9.0	7.0	12.0	9.0	LB	77	Common	Aaron Cresswell	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/19.png?quality=100&amp;width=80	CB	LWB		https://game-assets.fut.gg/2024/cards/futgg-cards/189615.webp	Versão 1
3771	3771	/players/248808-aaron-hickey/24-248808/	aaron-hickey	75.0	75.0	59.0	48.0	64.0	61.0	56.0	48.0	67.0	73.0	40.0	76.0	69.0	62.0	71.0	64.0	71.0	75.0	78.0	72.0	69.0	62.0	75.0	76.0	74.0	70.0	78.0	59.0	78.0	13.0	8.0	14.0	5.0	13.0	RB	76	Common	Aaron Hickey	https://game-assets.fut.gg/2024/nations/42.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/1925.png?quality=100&amp;width=80	RWB	LB		https://game-assets.fut.gg/2024/cards/futgg-cards/248808.webp	Versão 1
1792	1792	/players/233934-aaron-ramsdale/24-233934/	aaron-ramsdale	47.0	50.0	18.0	14.0	65.0	15.0	16.0	25.0	65.0	15.0	16.0	56.0	57.0	17.0	53.0	49.0	83.0	36.0	18.0	65.0	24.0	15.0	20.0	16.0	15.0	65.0	35.0	59.0	35.0	84.0	87.0	79.0	86.0	81.0	GK	84	Rare	Aaron Ramsdale	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/1.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/233934.webp	Versão 1
2431	2431	/players/229880-aaron-wan-bissaka/24-229880/	aaron-wan-bissaka	78.0	87.0	70.0	44.0	70.0	44.0	43.0	44.0	65.0	70.0	45.0	75.0	58.0	73.0	80.0	69.0	79.0	73.0	80.0	77.0	83.0	50.0	73.0	82.0	90.0	70.0	75.0	68.0	74.0	9.0	6.0	8.0	8.0	8.0	RB	80	Rare	Aaron Wan-Bissaka	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/11.png?quality=100&amp;width=80	RWB			https://game-assets.fut.gg/2024/cards/futgg-cards/229880.webp	Versão 1
4044	4044	/players/265297-abbey-leigh-stringer/24-265297/	abbey-leigh-stringer	62.0	33.0	64.0	69.0	69.0	60.0	56.0	56.0	70.0	52.0	53.0	77.0	75.0	53.0	39.0	35.0	69.0	75.0	74.0	74.0	70.0	65.0	69.0	78.0	72.0	80.0	68.0	90.0	86.0	6.0	9.0	13.0	6.0	8.0	CDM	75	Common	Abbey-Leigh Stringer	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/19.png?quality=100&amp;width=80	CM			https://game-assets.fut.gg/2024/cards/futgg-cards/265297.webp	Versão 1
2534	2534	/players/236641-abby-dahlkemper/24-236641/	abby-dahlkemper	53.0	52.0	49.0	43.0	62.0	46.0	36.0	42.0	56.0	55.0	41.0	70.0	62.0	61.0	55.0	78.0	74.0	67.0	58.0	74.0	84.0	82.0	84.0	85.0	82.0	81.0	55.0	78.0	83.0	10.0	14.0	9.0	14.0	14.0	CB	80	Common	Abby Dahlkemper	https://game-assets.fut.gg/2024/nations/95.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/116312.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/236641.webp	Versão 1
2315	2315	/players/233341-abby-erceg/24-233341/	abby-erceg	52.0	49.0	43.0	36.0	45.0	39.0	36.0	40.0	57.0	46.0	40.0	71.0	62.0	45.0	52.0	59.0	75.0	70.0	61.0	84.0	81.0	83.0	85.0	86.0	79.0	83.0	69.0	83.0	81.0	11.0	5.0	11.0	11.0	8.0	CB	81	Common	Abby Erceg	https://game-assets.fut.gg/2024/nations/198.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/116308.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/233341.webp	Versão 1
2943	2943	/players/243771-abby-smith/24-243771/	abby-smith	33.0	47.0	11.0	7.0	54.0	11.0	10.0	12.0	38.0	16.0	12.0	21.0	21.0	14.0	36.0	46.0	71.0	15.0	11.0	47.0	8.0	15.0	10.0	16.0	13.0	47.0	24.0	34.0	19.0	77.0	72.0	78.0	79.0	76.0	GK	78	Common	Abby Smith	https://game-assets.fut.gg/2024/nations/95.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/116310.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/243771.webp	Versão 1
