	URLs	Nome
0	/players/190045-johan-cruyff/24-67298909/	johan-cruyff
1	/players/237067-pele/24-67345931/	pele
2	/players/241667-aitana-bonmati/24-84127747/	aitana-bonmati
3	/players/231747-kylian-mbappe/24-134449475/	kylian-mbappe
4	/players/239085-erling-haaland/24-117679597/	erling-haaland
5	/players/227102-caroline-graham-hansen/24-84113182/	caroline-graham-hansen
6	/players/158023-lionel-messi/24-67266887/	lionel-messi
7	/players/248449-zinedine-zidane/24-50580097/	zinedine-zidane
8	/players/203376-virgil-van-dijk/24-117643888/	virgil-van-dijk
9	/players/227203-alexia-putellas/24-84113283/	alexia-putellas
10	/players/192985-kevin-de-bruyne/24-84079065/	kevin-de-bruyne
11	/players/252371-jude-bellingham/24-117692883/	jude-bellingham
12	/players/227125-samantha-may-kerr/24-84113205/	samantha-may-kerr
13	/players/237067-pele/24-50568715/	pele
14	/players/238395-ronaldinho/24-50570043/	ronaldinho
15	/players/20801-cristiano-ronaldo/24-83906881/	cristiano-ronaldo
16	/players/226302-alexandra-popp/24-67335166/	alexandra-popp
17	/players/227316-wendie-renard/24-100890612/	wendie-renard
18	/players/253436-ona-batlle/24-50585084/	ona-batlle
19	/players/212831-alisson/24-67321695/	alisson
20	/players/275243-mia-hamm/24-50606891/	mia-hamm
21	/players/239818-ruben-dias/24-67348682/	ruben-dias
22	/players/233662-sakina-karchaoui/24-84119742/	sakina-karchaoui
23	/players/231866-rodri/24-84117946/	rodri
24	/players/248717-lena-oberdorf/24-67357581/	lena-oberdorf
25	/players/264012-sophia-smith/24-67372876/	sophia-smith
26	/players/37576-ronaldo/24-50369224/	ronaldo
27	/players/1397-zinedine-zidane/24-50333045/	zinedine-zidane
28	/players/190045-johan-cruyff/24-50521693/	johan-cruyff
29	/players/237067-pele/24-237067/	pele
30	/players/5003-cafu/24-67113867/	cafu
31	/players/275276-birgit-prinz/24-50606924/	birgit-prinz
32	/players/230025-bobby-charlton/24-67338889/	bobby-charlton
33	/players/227324-camille-abily/24-67336188/	camille-abily
34	/players/4833-hristo-stoichkov/24-67113697/	hristo-stoichkov
35	/players/227324-camille-abily/24-50558972/	camille-abily
36	/players/7763-andrea-pirlo/24-50339411/	andrea-pirlo
37	/players/209331-mohamed-salah/24-184758707/	mohamed-salah
38	/players/209331-mohamed-salah/24-167981491/	mohamed-salah
39	/players/214100-ruud-gullit/24-84100180/	ruud-gullit
40	/players/1625-thierry-henry/24-83887705/	thierry-henry
41	/players/1625-thierry-henry/24-67110489/	thierry-henry
42	/players/158023-lionel-messi/24-84044103/	lionel-messi
43	/players/1109-paolo-maldini/24-50332757/	paolo-maldini
44	/players/253149-jeremie-frimpong/24-134470877/	jeremie-frimpong
45	/players/232656-theo-hernandez/24-100895952/	theo-hernandez
46	/players/238257-millie-bright/24-67347121/	millie-bright
47	/players/247504-mary-earps/24-50579152/	mary-earps
48	/players/239085-erling-haaland/24-100902381/	erling-haaland
49	/players/254642-ferenc-puskas/24-50586290/	ferenc-puskas
50	/players/190048-gerd-muller/24-50521696/	gerd-muller
51	/players/28130-ronaldinho/24-50359778/	ronaldinho
52	/players/188545-robert-lewandowski/24-67297409/	robert-lewandowski
53	/players/239085-erling-haaland/24-50570733/	erling-haaland
54	/players/37576-ronaldo/24-37576/	ronaldo
55	/players/1397-zinedine-zidane/24-1397/	zinedine-zidane
56	/players/45197-xabi-alonso/24-67154061/	xabi-alonso
57	/players/266694-saeed-al-owairan/24-50598342/	saeed-al-owairan
58	/players/30110-dimitar-berbatov/24-83916190/	dimitar-berbatov
59	/players/45661-raul/24-67154525/	raul
60	/players/208722-sadio-mane/24-100872018/	sadio-mane
61	/players/228702-frenkie-de-jong/24-84114782/	frenkie-de-jong
62	/players/208722-sadio-mane/24-84094802/	sadio-mane
63	/players/238388-dennis-bergkamp/24-84124468/	dennis-bergkamp
64	/players/167135-carlos-alberto/24-50498783/	carlos-alberto
65	/players/167135-carlos-alberto/24-67275999/	carlos-alberto
66	/players/238388-dennis-bergkamp/24-67347252/	dennis-bergkamp
67	/players/165153-karim-benzema/24-84051233/	karim-benzema
68	/players/165153-karim-benzema/24-100828449/	karim-benzema
69	/players/226301-morgan/24-84112381/	morgan
